method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
imat	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.8256	0.3304	0.72	0.9799	0.2413	0.5527	767	1045	0.7832167832167832	0.8356643356643356	0.5174825174825175	0.8951048951048951	0.7579
imat	12_xylose	Xylose	necrotrophic	aerobic	True	0.851	0.3532	0.75	0.9811	0.2637	0.5899	795	1045	0.8811188811188811	0.9195804195804196	0.6503496503496503	1.0	0.8628
imat	12_xylose	Xylose	necrotrophic	anaerobic	True	0.8277	0.3252	0.72	0.9729	0.2179	0.5535	760	1045	0.7762237762237763	0.8356643356643356	0.07342657342657342	0.7902097902097902	0.6189
imat	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.8563	0.3342	0.7625	0.9725	0.229	0.5817	784	1045	0.8181818181818182	0.993006993006993	0.05244755244755245	0.8321678321678322	0.674
imat	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.8504	0.3346	0.755	0.9738	0.2296	0.573	770	1045	0.8251748251748252	0.958041958041958	0.0979020979020979	0.8391608391608392	0.6801
imat	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.8479	0.3407	0.7475	0.974	0.2334	0.5792	806	1045	0.8461538461538461	0.8916083916083916	0.1048951048951049	0.8601398601398601	0.6757
imat	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.8556	0.3243	0.76	0.9793	0.2561	0.5872	801	1045	0.7692307692307693	0.9790209790209791	0.493006993006993	0.9685314685314685	0.8024
imat	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.8159	0.3534	0.71	0.9772	0.2226	0.5304	720	1045	0.8881118881118881	0.8041958041958042	0.2517482517482518	0.8146853146853147	0.6897
imat	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.8466	0.3573	0.75	0.9822	0.258	0.5708	766	1045	0.9020979020979021	0.9195804195804196	0.6888111888111889	0.9825174825174825	0.8733
imat	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.823	0.3628	0.7225	0.9791	0.23	0.5331	718	1045	0.9440559440559441	0.8461538461538461	0.46853146853146854	0.8461538461538461	0.7762
imat	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.8456	0.3631	0.7425	0.9809	0.2592	0.5826	799	1045	0.951048951048951	0.8706293706293706	0.6433566433566433	0.993006993006993	0.8645
imat	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.8146	0.361	0.7075	0.9772	0.2226	0.5304	714	1045	0.9370629370629371	0.7972027972027972	0.2517482517482518	0.8146853146853147	0.7002
imat	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.8585	0.3593	0.7725	0.9772	0.2428	0.5753	792	1045	0.9300699300699301	1.0	0.2517482517482518	0.9020979020979021	0.771
imat	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.8425	0.3323	0.7425	0.9718	0.2196	0.5663	798	1045	0.8041958041958042	0.8706293706293706	0.027972027972027972	0.7972027972027972	0.625
imat	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.8483	0.3057	0.75	0.9725	0.2284	0.5807	802	1045	0.7622377622377622	0.9195804195804196	0.05244755244755245	0.8251748251748252	0.6399
imat	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.8445	0.3317	0.745	0.9771	0.2403	0.5711	784	1045	0.7902097902097902	0.8811188811188811	0.23776223776223776	0.8811188811188811	0.6976
imat	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.8499	0.3406	0.75	0.9761	0.2454	0.5891	804	1045	0.8391608391608392	0.9195804195804196	0.20279720279720279	0.9230769230769231	0.7212
imat	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.8137	0.3331	0.7	0.9758	0.2221	0.5402	736	1045	0.8111888111888111	0.7762237762237763	0.1853146853146853	0.8041958041958042	0.6442
imat	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.8239	0.3498	0.715	0.9782	0.2368	0.5552	756	1045	0.8741258741258742	0.8146853146853147	0.38461538461538464	0.8741258741258742	0.7369
imat	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.8091	0.332	0.6975	0.9753	0.2157	0.5289	718	1045	0.7972027972027972	0.7692307692307693	0.17482517482517482	0.7832167832167832	0.6311
pfba	01_trehalose	Trehalose	pre-infection	aerobic	True	0.5757	0.1394	0.355	0.9804	0.1676	0.3631	467	1045	0.6013986013986014	0.3111888111888112	0.5804195804195804	0.3951048951048951	0.472
pfba	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5712	0.1242	0.3525	0.9829	0.1719	0.3583	469	1045	0.3146853146853147	0.22727272727272727	0.7307692307692307	0.513986013986014	0.4467
pfba	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5769	0.1366	0.36	0.9776	0.1603	0.3617	466	1045	0.5804195804195804	0.44405594405594406	0.3041958041958042	0.24125874125874125	0.3925
